run_id,condition_id,condition_name,Consumer Goods,Energy,Financials,Healthcare,Industrials,Technology
technical_020_20260416T005327140249,2,technical,0.14145756,0.15145457,0.16165151,0.21213636,0.16665000000000002,0.16665
control_021_20260416T005402145225,0,control,0.14851486,0.06435644,0.14356437,0.18811882000000002,0.11881189,0.33663366
fundamental_022_20260416T005407344372,1,fundamental,0.09,0.035,0.09,0.14,0.025,0.62
fundamental_011_20260416T005420731786,1,fundamental,0.07849185,0.03432153,0.10783924,0.15688421,0.04426981,0.5781934
fundamental_020_20260416T005434391863,1,fundamental,0.08456617,0.03978408,0.09956017,0.17912835,0.039884039999999996,0.55707716
technical_006_20260416T005449388251,2,technical,0.12,0.16,0.14,0.18,0.255,0.14500000000000002
fundamental_009_20260416T005539518304,1,fundamental,0.07840784,0.03430343,0.09310931,0.13721372,0.029402940000000002,0.62756275
technical_007_20260416T005554425179,2,technical,0.14719857,0.16759058,0.15224707999999998,0.2132251,0.1725401,0.14719857
fundamental_004_20260416T005611792582,1,fundamental,0.10958904,0.05022831,0.09589041,0.15068493,0.06392694,0.52968036
technical_000_20260416T005623361205,2,technical,0.1304,0.1498,0.1643,0.1981,0.1739,0.1835
fundamental_008_20260416T005639836241,1,fundamental,0.09709999999999999,0.0437,0.1116,0.14079999999999998,0.0437,0.5630999999999999
fundamental_029_20260416T005708667780,1,fundamental,0.07035177000000001,0.04522613,0.09045226,0.14070353000000002,0.03015077,0.62311558
fundamental_025_20260416T005721977881,1,fundamental,0.09132007,0.04571027,0.10960418,0.16887683,0.0456098,0.53887884
technical_016_20260416T005735609685,2,technical,0.15159735000000002,0.15651999,0.15149689,0.21207554,0.16164356,0.16666667
control_022_20260416T005755156520,0,control,0.14646465,0.06565657,0.14646466,0.1919192,0.11111111999999998,0.33838384
technical_003_20260416T005800275324,2,technical,0.08834064,0.17638281,0.11768803,0.14703542,0.23527657,0.23527657
technical_005_20260416T005818451607,2,technical,0.10945273999999999,0.20895523,0.14925374,0.17412935,0.2437811,0.11442786000000002
control_023_20260416T005833358998,0,control,0.15,0.065,0.14500000000000002,0.19,0.115,0.33499999999999996
fundamental_010_20260416T005839289349,1,fundamental,0.08503332999999999,0.04504141,0.11502727,0.1499697,0.045041410000000004,0.5598868800000001
combined_009_20260416T005856085222,3,combined,0.13170732,0.13170732000000002,0.15609755,0.1902439,0.11707316999999999,0.27317073
combined_022_20260416T005920147989,3,combined,0.13235294,0.13235294,0.15686274,0.19117648,0.12254901,0.26470588
control_024_20260416T005925026218,0,control,0.145,0.065,0.14500000000000002,0.19,0.115,0.34
control_006_20260416T005929980517,0,control,0.14646465,0.06565657,0.14646466,0.1919192,0.11111111999999998,0.33838384
fundamental_026_20260416T005934753127,1,fundamental,0.0819524,0.046098219999999995,0.10244049999999999,0.16390479000000002,0.046098219999999995,0.55950586
combined_000_20260416T005951181520,3,combined,0.13461539,0.12980769,0.15865384,0.1875,0.11057692,0.27884614999999996
control_018_20260416T005955975826,0,control,0.14705881999999998,0.06372549,0.14215687,0.19117647,0.11764706,0.33823529
fundamental_019_20260416T010000992477,1,fundamental,0.09,0.04,0.1,0.15000000000000002,0.05,0.5700000000000001
combined_028_20260416T010014751704,3,combined,0.13106796,0.13106796,0.15533981,0.18932038,0.12135922999999998,0.27184467
fundamental_012_20260416T010019745362,1,fundamental,0.05914085,0.02957042,0.09350649,0.13816183999999998,0.03996004,0.63966035
control_002_20260416T010035204565,0,control,0.14572864000000002,0.06532663,0.14572864,0.19095478,0.10552764,0.34673366
combined_013_20260416T010040843433,3,combined,0.13170732,0.13170732000000002,0.15609755,0.1902439,0.12682927,0.26341464
technical_012_20260416T010046103310,2,technical,0.13596894,0.19562774,0.16293799,0.21738686000000002,0.15762591,0.13045255
technical_013_20260416T010102344968,2,technical,0.11641164,0.20062006,0.15861586,0.20072006999999997,0.17151715,0.15211521
fundamental_006_20260416T010120883512,1,fundamental,0.08,0.035,0.10500000000000001,0.16,0.04,0.5800000000000001
fundamental_016_20260416T010149449356,1,fundamental,0.08956881,0.04473392,0.11945874000000001,0.12945572,0.06967586,0.54710694
fundamental_007_20260416T010206853304,1,fundamental,0.096,0.052000000000000005,0.11199999999999999,0.18,0.04,0.52
control_010_20260416T010236700711,0,control,0.15,0.07500000000000001,0.14500000000000002,0.185,0.11,0.33499999999999996
technical_014_20260416T010241365792,2,technical,0.12435025999999999,0.1592363,0.14934026,0.19892042999999998,0.24870051,0.11945221
control_015_20260416T010257188613,0,control,0.14925374,0.06467662,0.14427861,0.18905472,0.11940299000000001,0.33333334
fundamental_028_20260416T010301945633,1,fundamental,0.08,0.04,0.115,0.16,0.045,0.56
control_005_20260416T010314540961,0,control,0.14563106,0.07281552999999999,0.14563107,0.18446602,0.12621358,0.32524271000000005
fundamental_003_20260416T010319466368,1,fundamental,0.085,0.05,0.11,0.15000000000000002,0.035,0.5700000000000001
fundamental_014_20260416T010333418462,1,fundamental,0.08,0.04,0.11,0.16999999999999998,0.05,0.55
fundamental_015_20260416T010347256079,1,fundamental,0.08080807999999999,0.045454549999999996,0.10606061,0.16161615999999998,0.050505049999999996,0.55555555
control_012_20260416T010402305969,0,control,0.14851486,0.07425743,0.14356437,0.18811882000000002,0.1138614,0.33168317
fundamental_018_20260416T010407056653,1,fundamental,0.10185186,0.0462963,0.12500001,0.15740741000000003,0.0462963,0.5231481499999999
combined_011_20260416T010418930860,3,combined,0.13526570999999998,0.13043478,0.15942029,0.19323672,0.12560385999999998,0.25603864
combined_020_20260416T010424227429,3,combined,0.13170732,0.13170732000000002,0.15609755,0.1902439,0.12682927,0.26341464
combined_029_20260416T010429334073,3,combined,0.13106796,0.13106796,0.15533981,0.18932038,0.12135922999999998,0.27184467
combined_010_20260416T010434566822,3,combined,0.13861386,0.14851485,0.15841584,0.18316832,0.1089109,0.26237624
control_019_20260416T010451159048,0,control,0.14492754,0.07246377000000001,0.14492754,0.18840579999999998,0.12560386,0.3236715
technical_025_20260416T010456072897,2,technical,0.11273382000000001,0.20586176,0.15684705,0.19115735,0.24027208,0.09312793
fundamental_013_20260416T010513790161,1,fundamental,0.09373413,0.046816289999999997,0.10419417,0.14583121999999998,0.05219864,0.5572255500000001
combined_014_20260416T010531089847,3,combined,0.13106796,0.13106796,0.15533981,0.18932038,0.12135922999999998,0.27184467
control_020_20260416T010535908099,0,control,0.14851486,0.07425743,0.14356437,0.18811882000000002,0.1138614,0.33168317
control_000_20260416T010540719860,0,control,0.14925374,0.06467662,0.14427861,0.18905472,0.11442786,0.33830846
combined_025_20260416T010545506399,3,combined,0.13270142000000001,0.12796209,0.15639809999999998,0.18483412999999999,0.12322274999999999,0.27488151
combined_015_20260416T010550553000,3,combined,0.13461539,0.12980769,0.15865384,0.1923077,0.11538462,0.26923075999999996
fundamental_027_20260416T010555464126,1,fundamental,0.07919999999999999,0.0545,0.099,0.1634,0.049499999999999995,0.5544
combined_023_20260416T010628026498,3,combined,0.13207546999999997,0.13679245,0.15566038000000001,0.18867925000000002,0.12264151,0.26415095
fundamental_023_20260416T010633184077,1,fundamental,0.09999999000000001,0.045454549999999996,0.11818182,0.14545454000000002,0.05454545,0.53636364
combined_017_20260416T010643665802,3,combined,0.13461539,0.13942307999999998,0.15865384,0.1826923,0.12980768999999998,0.25480769000000003
technical_029_20260416T010648439818,2,technical,0.11698829999999999,0.16578342,0.14638536,0.18538146,0.25367463,0.13178682
technical_023_20260416T010707249083,2,technical,0.13414634,0.19512195,0.15853658999999998,0.20121951,0.18292682,0.12804877
combined_001_20260416T010723701645,3,combined,0.13300492,0.14285714,0.15763547,0.18719213,0.12807882,0.25123152
control_025_20260416T010728446660,0,control,0.14572864000000002,0.06532663,0.14572864,0.19095478,0.10552764,0.34673366
technical_011_20260416T010735129216,2,technical,0.14638803,0.16095649,0.15121068999999998,0.21460866,0.15613383,0.1707023
combined_012_20260416T010751945465,3,combined,0.13106796,0.13106796,0.15533981,0.18932038,0.12135922999999998,0.27184467
technical_017_20260416T010756811764,2,technical,0.1317588,0.17567839000000002,0.17567839,0.19517588,0.16100503,0.16070352
technical_004_20260416T010814878003,2,technical,0.13915282,0.15973871,0.15459224,0.21654790000000002,0.16498416,0.16498416
control_029_20260416T010831772830,0,control,0.14925374,0.06467662,0.14427861,0.18905472,0.11940299000000001,0.33333334
control_027_20260416T010836671102,0,control,0.14975846,0.07246377000000001,0.14492754,0.18357488,0.12560386,0.3236715
combined_016_20260416T010841768509,3,combined,0.13526570999999998,0.13043478,0.15942029,0.18840581,0.12560385999999998,0.26086956
combined_027_20260416T010846667428,3,combined,0.13333333,0.12857143,0.15714286,0.19047618,0.12380952,0.26666668
control_004_20260416T010851801202,0,control,0.14572864000000002,0.06532663,0.14572864,0.19095478,0.10552764,0.34673366
fundamental_024_20260416T010856559082,1,fundamental,0.0994775,0.04481511,0.10952572,0.13926849,0.04983922,0.5570739499999999
technical_015_20260416T010911263071,2,technical,0.14503134,0.15995226,0.15497862,0.21993434,0.16502536,0.15507808
control_011_20260416T010927849481,0,control,0.15,0.065,0.14500000000000002,0.19,0.115,0.335
technical_009_20260416T010932827272,2,technical,0.10689072000000001,0.18504524,0.17052799,0.21964801,0.15312717,0.16476086
combined_021_20260416T010950372316,3,combined,0.1298077,0.12980769,0.15384615,0.1875,0.12019231,0.27884614999999996
control_013_20260416T011051141653,0,control,0.14925374,0.06467662,0.14427861,0.18905472,0.10945274,0.34328358999999997
combined_026_20260416T011055911626,3,combined,0.13461539,0.12980769,0.15865384,0.19230769,0.125,0.25961538
control_017_20260416T011101341706,0,control,0.14851486,0.06435644,0.14356437,0.18811882000000002,0.1138614,0.34158416
control_028_20260416T011106870197,0,control,0.145,0.065,0.14500000000000002,0.19,0.115,0.34
fundamental_001_20260416T011111960134,1,fundamental,0.08909109000000001,0.03969603,0.11878812,0.14858514,0.03959604,0.56424357
fundamental_005_20260416T011125199444,1,fundamental,0.08207537,0.0409877,0.10256921999999999,0.15385385000000001,0.04628611,0.57422773
combined_004_20260416T011141069611,3,combined,0.13270142000000001,0.12796209,0.15639809999999998,0.1943128,0.11374406999999999,0.27488151
control_003_20260416T011146089988,0,control,0.14851486,0.07425743,0.14356437,0.18811882000000002,0.1138614,0.33168317
control_014_20260416T011150796188,0,control,0.14492754,0.07246377000000001,0.14492754,0.18357488,0.12077294,0.33333334
technical_021_20260416T011155935713,2,technical,0.13259724,0.17348054999999998,0.15816174,0.21933752,0.16333433,0.15308862999999998
