run_id,condition_id,condition_name,model,model_label,temperature,timestamp,attempts,parse_success,AAPL,MSFT,GOOGL,JNJ,UNH,PFE,JPM,GS,XOM,CVX,PG,KO,CAT,HON,AMZN,NVDA,V,LLY,BA,MMM
claude_technical_028_20260427T230658061554,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:07:11.806902,1,True,2.880576,7.691538,2.40048,4.810962,1.440288,1.440288,11.542308,4.810962,1.920384,1.920384,3.85077,19.233847,1.440288,1.920384,2.40048,1.440288,5.771154,10.582116,8.65173,3.85077
claude_fundamental_002_20260427T230713813617,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:07:27.495310,1,True,4.27,11.11,11.97,1.71,1.71,5.98,5.13,5.13,3.42,1.71,2.56,2.56,1.71,1.71,8.55,17.09,4.27,5.98,0.87,2.56
claude_control_016_20260427T230729502115,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:07:32.205329,1,True,8.0,8.5,7.0,4.5,5.5,2.5,5.5,4.0,4.0,3.5,4.5,3.5,4.0,3.5,7.0,7.5,5.5,6.0,2.5,3.0
claude_technical_002_20260427T230734212121,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:07:47.163093,1,True,3.940887,6.896552,3.448276,5.418719,2.955665,2.955665,8.866995,4.926108,3.448276,3.448276,4.926108,8.866995,2.955665,3.448276,3.448276,2.955665,5.91133,8.374384,7.881773,4.926108
claude_technical_022_20260427T230749166988,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:08:05.793179,1,True,3.037849,10.109562,2.52988,5.059761,1.513944,1.513944,13.14741,4.043825,2.021912,2.021912,4.043825,14.053785,1.513944,2.021912,2.52988,1.513944,6.065737,12.131474,8.087649,3.037849
claude_combined_007_20260427T230807799925,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:08:24.903489,1,True,3.920008,11.760024,8.824993,2.447518,1.960004,3.920008,8.824993,4.904985,3.432494,1.960004,3.432494,6.864989,1.960004,1.960004,6.864989,9.80002,4.904985,8.824993,1.47249,1.960004
claude_fundamental_021_20260427T230826910416,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:08:43.067948,1,True,2.80028,13.081308,12.151215,1.40014,1.40014,4.210421,4.670467,4.670467,1.870187,1.40014,1.870187,1.40014,2.340234,2.340234,9.350935,18.691869,3.270327,8.410841,0.930093,3.740374
claude_technical_008_20260427T230845074799,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:08:59.133636,1,True,2.489751,6.969303,1.989801,3.979602,1.989801,1.989801,11.938806,4.979502,1.989801,1.989801,3.979602,19.89801,1.989801,1.989801,1.989801,1.989801,5.969403,9.949005,7.959204,3.979602
claude_control_008_20260427T230901140659,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:09:03.960026,1,True,8.0,8.5,7.0,4.5,5.5,2.5,5.5,4.0,4.0,3.5,4.5,3.5,4.0,3.5,7.0,7.5,6.0,6.0,2.5,2.5
claude_technical_001_20260427T230905966124,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:09:22.595180,1,True,3.112369,7.255457,2.586904,4.143088,2.071544,2.071544,12.439369,5.183913,2.586904,3.112369,4.143088,11.398545,2.071544,2.071544,2.586904,2.071544,6.214632,10.367825,9.327001,5.183913
claude_combined_008_20260427T230924602360,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:09:43.688542,1,True,4.121017,9.277314,6.181526,3.095789,2.573123,4.121017,8.252086,5.156297,3.095789,3.095789,3.095789,7.216806,2.573123,3.095789,5.668911,7.72942,5.156297,8.7647,4.121017,3.608403
claude_combined_018_20260427T230945694260,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:05.500629,1,True,4.790419,11.477046,8.682635,2.39521,1.896208,2.39521,8.682635,4.790419,2.894212,2.894212,3.892216,6.686627,1.896208,1.896208,7.684631,9.580838,5.788423,8.682635,1.497006,1.497006
claude_control_007_20260427T231007507813,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:10.202990,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_control_001_20260427T231012209671,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:15.227992,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_technical_018_20260427T231017234330,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:30.792863,1,True,1.980198,6.930693,1.485149,4.950495,0.990099,0.990099,14.851485,3.960396,1.485149,1.485149,3.960396,19.80198,0.990099,1.485149,1.485149,1.485149,5.940594,11.881188,9.90099,3.960396
claude_technical_010_20260427T231032800361,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:49.533783,1,True,3.761194,6.457711,3.223881,5.383085,2.149254,2.686567,9.681592,5.383085,3.223881,3.761194,5.383085,9.651741,2.686567,3.223881,3.223881,2.686567,6.457711,8.606965,7.532338,4.835821
claude_control_026_20260427T231051540800,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:10:54.755251,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.030151,2.01005,2.512563
claude_technical_020_20260427T231056761748,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:11:09.809490,1,True,3.08,8.21,2.05,5.13,2.05,2.05,12.31,4.1,2.05,3.08,5.13,12.31,2.05,2.05,2.56,2.05,6.15,10.26,9.23,4.1
claude_control_021_20260427T231111816224,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:11:14.779111,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_fundamental_022_20260427T231116785873,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:11:31.859998,1,True,2.609309,12.532742,11.484989,1.561556,1.561556,3.133186,5.218618,5.218618,3.133186,1.561556,2.085432,1.561556,1.561556,1.561556,10.437236,20.149103,4.180939,8.351803,1.047753,1.047753
claude_fundamental_011_20260427T231133866661,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:11:44.727469,1,True,4.0,14.0,12.0,1.5,1.5,6.0,5.0,4.0,1.5,1.5,1.5,1.5,1.0,1.0,10.0,20.0,4.0,7.0,1.0,2.0
claude_fundamental_020_20260427T231146730981,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:11:57.014870,1,True,5.970149,10.945274,11.940299,1.492537,1.492537,3.9801,4.975124,3.9801,2.985075,2.487562,2.487562,1.99005,1.99005,1.99005,9.950249,19.900498,3.9801,5.970149,0.497512,0.995025
claude_technical_006_20260427T231159021691,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:12:12.987785,1,True,3.536977,8.078778,2.522106,4.039389,2.019695,2.019695,11.113344,5.05426,2.019695,2.522106,4.039389,12.118167,2.019695,2.522106,3.034566,3.034566,6.059084,10.098473,9.09365,5.05426
claude_fundamental_009_20260427T231214994740,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:12:28.861874,1,True,3.574338,11.608961,12.505092,1.782077,1.782077,4.470468,5.356415,6.252546,2.678208,1.782077,1.782077,1.782077,1.782077,1.782077,10.723014,17.851324,4.470468,5.356415,0.89613,1.782077
claude_technical_007_20260427T231230868400,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:12:46.066419,1,True,3.743316,6.951872,3.208556,5.882353,2.139037,2.673797,9.090909,5.347594,3.208556,3.743316,5.347594,9.090909,2.673797,3.208556,3.208556,2.673797,6.417112,8.55615,7.486631,5.347594
claude_fundamental_004_20260427T231248073364,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:13:00.504326,1,True,6.860686,12.751275,13.731373,1.960196,1.960196,3.920392,4.90049,3.920392,2.450245,0.980098,1.470147,1.470147,0.980098,0.980098,9.80098,19.611961,3.430343,7.840784,0.490049,0.490049
claude_technical_000_20260427T231302509409,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:13:19.140127,1,True,3.667408,7.324712,3.142049,5.23338,3.142049,3.142049,10.466761,4.708022,3.142049,3.142049,4.192766,10.466761,3.142049,3.142049,3.142049,3.142049,5.758739,9.426147,6.284098,4.192766
claude_fundamental_008_20260427T231321144323,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:13:35.730038,1,True,4.569086,10.04799,10.957808,2.279544,2.279544,3.64927,5.478904,4.569086,3.64927,2.739452,2.739452,1.829634,1.829634,1.829634,8.218356,18.256349,4.569086,7.308538,1.369726,1.829634
claude_fundamental_029_20260427T231337736072,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:13:48.836530,1,True,7.582938,12.322275,11.374408,2.369668,2.369668,3.791469,4.739336,4.265403,2.369668,1.421801,2.369668,1.895735,1.421801,1.421801,9.478673,18.957346,4.265403,5.687204,0.473934,1.421801
claude_fundamental_025_20260427T231350842885,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:14:06.757399,1,True,6.895858,10.836349,11.821472,1.970245,1.970245,4.925613,4.925613,3.940491,2.955368,1.477684,2.462807,1.970245,1.477684,1.477684,9.851226,19.712505,3.940491,5.910736,0.492561,0.985123
claude_technical_016_20260427T231408764232,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:14:23.756483,1,True,3.0961,8.252915,2.573382,3.0961,1.54805,2.060716,11.338963,5.156815,2.573382,2.573382,5.156815,12.374347,2.060716,2.573382,2.573382,2.060716,7.217531,10.313631,9.278247,4.121431
claude_control_022_20260427T231425763364,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:14:28.670428,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.030151,2.512563,2.01005
claude_technical_003_20260427T231430676517,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:14:48.437231,1,True,3.80038,7.610761,2.720272,4.890489,1.630163,2.170217,9.780978,5.430543,3.260326,2.720272,4.890489,10.331033,2.170217,3.260326,2.720272,2.170217,6.520652,9.240924,8.70087,5.980598
claude_technical_005_20260427T231450443118,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:15:07.890117,1,True,3.331013,8.889331,3.331013,5.558318,1.670478,1.670478,10.002983,5.558318,2.774187,2.217361,5.001491,10.549866,1.670478,3.887839,2.774187,1.670478,7.218853,9.446157,8.332505,4.444665
claude_control_023_20260427T231509897157,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:15:12.602158,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_fundamental_010_20260427T231514608878,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:15:26.936902,1,True,4.6327,10.189931,11.114461,1.84906,1.84906,3.70817,5.55723,5.55723,3.245905,1.84906,2.311325,1.84906,2.311325,2.311325,8.330821,18.520752,4.6327,6.481761,0.92453,2.773591
claude_combined_009_20260427T231528944182,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:15:44.519160,1,True,3.77,11.32,6.6,2.83,1.42,1.89,8.49,4.72,2.36,1.89,2.83,6.6,1.89,1.89,5.66,18.86,4.72,9.43,0.94,1.89
claude_combined_022_20260427T231546526583,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:02.983488,1,True,4.853784,11.647071,9.707567,2.431916,1.939504,1.939504,9.707567,4.853784,2.431916,1.939504,2.431916,6.793287,1.939504,1.939504,7.768064,8.74284,5.82856,9.707567,1.939504,1.45714
claude_control_024_20260427T231604990473,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:07.796073,1,True,7.920792,8.910891,7.425743,4.455446,5.445545,2.475248,5.445545,3.960396,3.960396,3.465347,4.455446,3.465347,3.960396,3.465347,6.930693,8.415842,5.940594,6.435644,1.980198,1.485149
claude_control_006_20260427T231609802168,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:12.403987,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.030151,2.512563,2.01005
claude_fundamental_026_20260427T231614411034,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:27.457662,1,True,4.806448,11.533486,9.612897,2.885859,2.885859,1.920589,5.771719,4.806448,2.885859,1.44293,2.885859,1.920589,1.44293,1.920589,8.657578,19.225794,5.771719,7.692308,0.96527,0.96527
claude_combined_000_20260427T231629462713,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:47.014489,1,True,4.322453,9.732938,8.110781,3.244313,2.166172,3.788328,7.566766,5.400593,3.244313,3.244313,3.244313,5.944609,2.700297,3.244313,6.488625,8.644906,5.400593,8.644906,2.166172,2.700297
claude_control_018_20260427T231649021925,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:16:51.793553,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_fundamental_019_20260427T231653800177,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:17:08.518522,1,True,4.90403,12.742438,11.767662,1.959602,1.959602,3.919204,4.90403,4.411617,2.944428,2.452015,2.452015,1.959602,1.467189,1.467189,8.823234,19.60607,4.90403,5.878806,0.492413,0.984826
claude_combined_028_20260427T231710525563,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:17:23.675888,1,True,5.0,9.0,7.0,3.0,3.0,4.0,8.0,5.0,4.0,3.0,4.0,6.0,3.0,3.0,6.0,8.0,6.0,8.0,2.0,3.0
claude_fundamental_012_20260427T231725682830,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:17:39.651400,1,True,6.827593,13.665286,11.705888,1.949298,1.949298,4.393496,4.393496,3.413797,2.444198,1.949298,2.444198,1.949298,1.464499,1.464499,8.786991,19.492981,3.898596,4.878295,1.464499,1.464499
claude_control_002_20260427T231741658202,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:17:44.462437,1,True,7.729469,8.695652,7.246377,4.347826,5.31401,2.415459,5.797101,3.864734,3.864734,3.381643,4.347826,3.381643,3.864734,3.381643,7.246377,8.21256,5.797101,6.280193,2.415459,2.415459
claude_combined_013_20260427T231746469276,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:18:05.350860,1,True,4.001577,11.925882,9.008476,2.000788,2.000788,1.498127,9.008476,5.006899,3.498916,2.50345,4.001577,7.007688,2.000788,2.000788,7.007688,9.008476,6.002365,9.008476,1.005322,2.50345
claude_technical_012_20260427T231807357642,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:18:22.556467,1,True,3.783784,7.577578,3.243243,5.415415,2.162162,2.702703,9.73974,4.864865,3.783784,3.243243,4.864865,9.66967,2.702703,3.243243,3.243243,2.162162,5.955956,9.199199,8.118118,4.324324
claude_technical_013_20260427T231824563114,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:18:41.808962,1,True,4.077439,7.138222,3.060783,5.10491,3.060783,3.060783,9.182349,5.10491,3.060783,3.060783,5.10491,9.182349,3.060783,3.060783,3.060783,3.060783,6.121566,8.165693,8.165693,5.10491
claude_fundamental_006_20260427T231843815864,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:18:56.963093,1,True,3.959996,10.889989,11.879988,1.484998,1.484998,5.939994,4.949995,4.949995,2.969997,2.474997,2.474997,1.979998,1.484998,1.979998,8.909991,19.810082,3.959996,6.929993,0.494999,0.989999
claude_fundamental_016_20260427T231858970079,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:19:13.551189,1,True,3.978011,10.944528,11.934033,1.989005,2.488756,4.977511,4.977511,4.977511,2.988506,1.989005,1.989005,1.489255,0.9995,0.9995,8.955522,19.890055,3.978011,6.966517,0.49975,2.988506
claude_fundamental_007_20260427T231915553885,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:19:29.934699,1,True,6.670015,13.329985,12.375691,1.908589,1.908589,3.335008,4.761426,3.807132,2.852838,1.908589,2.380713,1.908589,1.426419,1.426419,9.522853,19.045706,3.807132,5.715721,0.954294,0.954294
claude_control_010_20260427T231931941796,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:19:34.845854,1,True,8.121827,8.629442,7.106599,4.568528,5.583756,2.538071,5.583756,4.060914,4.060914,3.553299,4.060914,3.553299,4.060914,3.553299,7.106599,7.614213,5.583756,6.091371,2.538071,2.030457
claude_technical_014_20260427T231936851332,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:19:51.440216,1,True,3.156413,7.368315,2.100925,5.26739,2.100925,2.100925,12.635706,4.73462,2.633695,3.156413,4.211902,12.635706,2.100925,2.633695,2.633695,2.100925,5.26739,10.524729,8.423804,4.211902
claude_control_015_20260427T231953446775,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:19:56.354126,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_fundamental_028_20260427T231958356737,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:20:10.798669,1,True,3.90039,10.731073,11.711171,1.950195,1.950195,3.410341,5.850585,4.880488,2.930293,1.950195,1.950195,1.950195,2.440244,1.950195,8.780878,19.511951,4.880488,6.830683,0.980098,1.460146
claude_control_005_20260427T232012803521,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:20:15.710051,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.030151,2.512563,2.01005
claude_fundamental_003_20260427T232017715930,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:20:30.044826,1,True,5.0,11.0,12.0,1.0,1.0,6.0,5.0,5.0,3.0,1.0,2.0,2.0,1.5,1.5,9.0,20.0,4.0,7.0,1.0,2.0
claude_fundamental_014_20260427T232032051884,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:20:46.327183,1,True,4.810481,13.461346,12.50125,1.920192,1.920192,3.850385,5.770577,3.850385,1.920192,1.440144,1.920192,1.440144,1.440144,1.440144,9.620962,19.231923,4.810481,6.730673,0.960096,0.960096
claude_fundamental_015_20260427T232048329339,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:03.017229,1,True,4.420884,15.933187,14.162833,1.330266,1.330266,5.311062,4.420884,3.540708,2.65053,2.210442,2.210442,1.770354,1.330266,1.330266,8.85177,17.703541,3.540708,6.191238,0.880176,0.880176
claude_control_012_20260427T232105020899,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:07.728729,1,True,8.0,9.0,7.5,4.5,5.0,2.5,5.5,4.0,4.0,3.5,4.0,3.5,4.0,3.5,7.0,8.5,5.5,6.0,2.5,2.0
claude_fundamental_018_20260427T232109734290,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:27.492106,1,True,4.117647,10.686275,11.568627,2.45098,2.45098,4.117647,5.784314,4.901961,3.333333,1.764706,2.45098,2.058824,1.666667,1.666667,9.901961,16.470588,4.901961,7.45098,0.980392,1.27451
claude_combined_011_20260427T232129498915,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:32.713897,1,True,5.5,9.0,7.5,3.5,3.0,2.5,9.0,4.5,3.5,2.5,3.5,5.5,2.5,2.5,6.5,8.0,6.0,8.5,3.5,3.0
claude_combined_020_20260427T232134720844,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:37.841314,1,True,5.5,9.0,7.5,3.5,3.0,2.5,9.0,4.5,3.5,2.5,4.0,6.0,2.5,3.0,6.0,7.0,6.5,8.0,3.5,3.0
claude_combined_029_20260427T232139847655,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:21:43.158445,1,True,5.641026,8.717949,7.179487,3.589744,2.564103,2.051282,8.717949,4.102564,3.076923,2.564103,4.102564,6.153846,2.564103,3.076923,6.153846,7.692308,6.666667,8.205128,4.615385,2.564103
claude_combined_010_20260427T232145165057,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:00.260975,1,True,4.811443,9.622887,7.692308,2.880864,2.880864,3.851155,8.652596,4.811443,2.880864,2.880864,3.851155,6.73202,2.880864,2.880864,6.73202,7.692308,5.771732,8.652596,1.920576,1.920576
claude_control_019_20260427T232202267829,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:04.975882,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,5.527638,6.030151,2.512563,2.512563
claude_technical_025_20260427T232206979091,2,technical,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:20.435120,1,True,3.064067,8.167529,2.039395,5.103462,2.039395,2.039395,12.246319,4.07879,2.039395,3.064067,5.103462,12.246319,2.039395,2.039395,2.546757,1.532033,6.118185,10.206924,10.206924,4.07879
claude_fundamental_013_20260427T232222441377,1,fundamental,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:47.159346,2,True,5.744573,11.479051,11.479051,1.918223,2.392731,2.867239,6.703685,3.82635,2.867239,1.433619,1.918223,1.433619,1.433619,1.433619,9.570924,19.141848,4.785462,7.652701,0.959112,0.959112
claude_combined_014_20260427T232249164100,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:52.176385,1,True,5.729167,8.854167,7.291667,3.645833,2.604167,2.083333,8.333333,4.6875,3.645833,2.604167,4.166667,5.729167,2.604167,3.125,6.25,7.8125,6.25,8.333333,3.645833,2.604167
claude_control_020_20260427T232254183454,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:22:56.786562,1,True,8.040201,8.542714,7.035176,4.522613,5.527638,2.512563,5.527638,4.020101,4.020101,3.517588,4.522613,3.517588,4.020101,3.517588,7.035176,7.537688,6.030151,6.030151,2.512563,2.01005
claude_control_000_20260427T232258792780,0,control,claude-sonnet-4-6,claude,0.7,2026-04-27T23:23:01.598084,1,True,8.0,8.5,7.0,4.5,5.5,2.5,5.5,4.0,4.0,3.5,4.5,3.5,4.0,3.5,7.0,7.5,5.5,6.0,2.5,3.0
claude_combined_025_20260427T232303604952,3,combined,claude-sonnet-4-6,claude,0.7,2026-04-27T23:23:23.511633,1,True,4.806927,9.613854,8.658439,3.363854,1.92078,2.886146,7.693073,5.772293,3.363854,2.886146,3.841561,6.25,2.408439,2.886146,8.17078,8.658439,5.284634,8.17078,1.443073,1.92078
